"GroupID","GroupName","Department","GroupType","Description","Status"
"GRP-0001","GRP-Legal-0001","Legal","Distribution","Legal Department Group","Active"
"GRP-0002","GRP-Finance-0002","Finance","Security","Finance Department Group","Active"
"GRP-0003","GRP-CustomerSuccess-0003","CustomerSuccess","Distribution","CustomerSuccess Department Group","Active"
"GRP-0004","GRP-Security-0004","Security","Security","Security Department Group","Active"
"GRP-0005","GRP-Marketing-0005","Marketing","Distribution","Marketing Department Group","Active"
"GRP-0006","GRP-Operations-0006","Operations","Security","Operations Department Group","Active"
"GRP-0007","GRP-Engineering-0007","Engineering","Distribution","Engineering Department Group","Active"
"GRP-0008","GRP-Marketing-0008","Marketing","Distribution","Marketing Department Group","Active"
"GRP-0009","GRP-Marketing-0009","Marketing","Security","Marketing Department Group","Active"
"GRP-0010","GRP-Legal-0010","Legal","Distribution","Legal Department Group","Active"
"GRP-0011","GRP-Sales-0011","Sales","Security","Sales Department Group","Active"
"GRP-0012","GRP-Legal-0012","Legal","Security","Legal Department Group","Active"
"GRP-0013","GRP-Finance-0013","Finance","Security","Finance Department Group","Active"
"GRP-0014","GRP-Sales-0014","Sales","Distribution","Sales Department Group","Active"
"GRP-0015","GRP-Operations-0015","Operations","Distribution","Operations Department Group","Active"
"GRP-0016","GRP-HR-0016","HR","Security","HR Department Group","Active"
"GRP-0017","GRP-CustomerSuccess-0017","CustomerSuccess","Distribution","CustomerSuccess Department Group","Active"
"GRP-0018","GRP-Finance-0018","Finance","Distribution","Finance Department Group","Active"
"GRP-0019","GRP-Operations-0019","Operations","Distribution","Operations Department Group","Active"
"GRP-0020","GRP-Finance-0020","Finance","Distribution","Finance Department Group","Active"
"GRP-0021","GRP-CustomerSuccess-0021","CustomerSuccess","Distribution","CustomerSuccess Department Group","Active"
"GRP-0022","GRP-Operations-0022","Operations","Security","Operations Department Group","Active"
"GRP-0023","GRP-Finance-0023","Finance","Distribution","Finance Department Group","Active"
"GRP-0024","GRP-Marketing-0024","Marketing","Distribution","Marketing Department Group","Active"
"GRP-0025","GRP-Engineering-0025","Engineering","Distribution","Engineering Department Group","Active"
"GRP-0026","GRP-HR-0026","HR","Security","HR Department Group","Active"
"GRP-0027","GRP-IT-0027","IT","Security","IT Department Group","Active"
"GRP-0028","GRP-Security-0028","Security","Security","Security Department Group","Active"
"GRP-0029","GRP-Marketing-0029","Marketing","Security","Marketing Department Group","Active"
"GRP-0030","GRP-CustomerSuccess-0030","CustomerSuccess","Distribution","CustomerSuccess Department Group","Active"
"GRP-0031","GRP-HR-0031","HR","Distribution","HR Department Group","Active"
"GRP-0032","GRP-Legal-0032","Legal","Security","Legal Department Group","Active"
"GRP-0033","GRP-Sales-0033","Sales","Distribution","Sales Department Group","Active"
"GRP-0034","GRP-Finance-0034","Finance","Security","Finance Department Group","Active"
"GRP-0035","GRP-Marketing-0035","Marketing","Distribution","Marketing Department Group","Active"
"GRP-0036","GRP-Marketing-0036","Marketing","Security","Marketing Department Group","Active"
"GRP-0037","GRP-Sales-0037","Sales","Security","Sales Department Group","Active"
"GRP-0038","GRP-Operations-0038","Operations","Security","Operations Department Group","Active"
"GRP-0039","GRP-CustomerSuccess-0039","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0040","GRP-HR-0040","HR","Security","HR Department Group","Active"
"GRP-0041","GRP-Finance-0041","Finance","Security","Finance Department Group","Active"
"GRP-0042","GRP-Finance-0042","Finance","Security","Finance Department Group","Active"
"GRP-0043","GRP-Legal-0043","Legal","Security","Legal Department Group","Active"
"GRP-0044","GRP-Legal-0044","Legal","Security","Legal Department Group","Active"
"GRP-0045","GRP-Engineering-0045","Engineering","Distribution","Engineering Department Group","Active"
"GRP-0046","GRP-Engineering-0046","Engineering","Security","Engineering Department Group","Active"
"GRP-0047","GRP-Security-0047","Security","Security","Security Department Group","Active"
"GRP-0048","GRP-Legal-0048","Legal","Security","Legal Department Group","Active"
"GRP-0049","GRP-Security-0049","Security","Security","Security Department Group","Active"
"GRP-0050","GRP-Operations-0050","Operations","Security","Operations Department Group","Active"
"GRP-0051","GRP-Engineering-0051","Engineering","Distribution","Engineering Department Group","Active"
"GRP-0052","GRP-Legal-0052","Legal","Distribution","Legal Department Group","Active"
"GRP-0053","GRP-Sales-0053","Sales","Security","Sales Department Group","Active"
"GRP-0054","GRP-Marketing-0054","Marketing","Security","Marketing Department Group","Active"
"GRP-0055","GRP-Security-0055","Security","Security","Security Department Group","Active"
"GRP-0056","GRP-Legal-0056","Legal","Distribution","Legal Department Group","Active"
"GRP-0057","GRP-Finance-0057","Finance","Distribution","Finance Department Group","Active"
"GRP-0058","GRP-Engineering-0058","Engineering","Security","Engineering Department Group","Active"
"GRP-0059","GRP-CustomerSuccess-0059","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0060","GRP-Finance-0060","Finance","Security","Finance Department Group","Active"
"GRP-0061","GRP-HR-0061","HR","Distribution","HR Department Group","Active"
"GRP-0062","GRP-Sales-0062","Sales","Distribution","Sales Department Group","Active"
"GRP-0063","GRP-Finance-0063","Finance","Distribution","Finance Department Group","Active"
"GRP-0064","GRP-Legal-0064","Legal","Security","Legal Department Group","Active"
"GRP-0065","GRP-HR-0065","HR","Distribution","HR Department Group","Active"
"GRP-0066","GRP-HR-0066","HR","Distribution","HR Department Group","Active"
"GRP-0067","GRP-Engineering-0067","Engineering","Distribution","Engineering Department Group","Active"
"GRP-0068","GRP-CustomerSuccess-0068","CustomerSuccess","Distribution","CustomerSuccess Department Group","Active"
"GRP-0069","GRP-IT-0069","IT","Distribution","IT Department Group","Active"
"GRP-0070","GRP-Security-0070","Security","Distribution","Security Department Group","Active"
"GRP-0071","GRP-CustomerSuccess-0071","CustomerSuccess","Distribution","CustomerSuccess Department Group","Active"
"GRP-0072","GRP-Operations-0072","Operations","Distribution","Operations Department Group","Active"
"GRP-0073","GRP-HR-0073","HR","Distribution","HR Department Group","Active"
"GRP-0074","GRP-IT-0074","IT","Security","IT Department Group","Active"
"GRP-0075","GRP-Security-0075","Security","Security","Security Department Group","Active"
"GRP-0076","GRP-Operations-0076","Operations","Security","Operations Department Group","Active"
"GRP-0077","GRP-Security-0077","Security","Security","Security Department Group","Active"
"GRP-0078","GRP-Sales-0078","Sales","Security","Sales Department Group","Active"
"GRP-0079","GRP-IT-0079","IT","Security","IT Department Group","Active"
"GRP-0080","GRP-CustomerSuccess-0080","CustomerSuccess","Distribution","CustomerSuccess Department Group","Active"
"GRP-0081","GRP-Marketing-0081","Marketing","Distribution","Marketing Department Group","Active"
"GRP-0082","GRP-Security-0082","Security","Distribution","Security Department Group","Active"
"GRP-0083","GRP-Finance-0083","Finance","Security","Finance Department Group","Active"
"GRP-0084","GRP-Sales-0084","Sales","Distribution","Sales Department Group","Active"
"GRP-0085","GRP-Finance-0085","Finance","Distribution","Finance Department Group","Active"
"GRP-0086","GRP-Security-0086","Security","Security","Security Department Group","Active"
"GRP-0087","GRP-CustomerSuccess-0087","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0088","GRP-Sales-0088","Sales","Distribution","Sales Department Group","Active"
"GRP-0089","GRP-Legal-0089","Legal","Distribution","Legal Department Group","Active"
"GRP-0090","GRP-IT-0090","IT","Security","IT Department Group","Active"
"GRP-0091","GRP-Legal-0091","Legal","Security","Legal Department Group","Active"
"GRP-0092","GRP-IT-0092","IT","Security","IT Department Group","Active"
"GRP-0093","GRP-CustomerSuccess-0093","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0094","GRP-CustomerSuccess-0094","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0095","GRP-IT-0095","IT","Distribution","IT Department Group","Active"
"GRP-0096","GRP-Engineering-0096","Engineering","Distribution","Engineering Department Group","Active"
"GRP-0097","GRP-Operations-0097","Operations","Security","Operations Department Group","Active"
"GRP-0098","GRP-Security-0098","Security","Distribution","Security Department Group","Active"
"GRP-0099","GRP-Security-0099","Security","Distribution","Security Department Group","Active"
"GRP-0100","GRP-IT-0100","IT","Distribution","IT Department Group","Active"
"GRP-0101","GRP-Engineering-0101","Engineering","Security","Engineering Department Group","Active"
"GRP-0102","GRP-Security-0102","Security","Distribution","Security Department Group","Active"
"GRP-0103","GRP-CustomerSuccess-0103","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0104","GRP-Finance-0104","Finance","Distribution","Finance Department Group","Active"
"GRP-0105","GRP-Engineering-0105","Engineering","Security","Engineering Department Group","Active"
"GRP-0106","GRP-IT-0106","IT","Distribution","IT Department Group","Active"
"GRP-0107","GRP-Legal-0107","Legal","Distribution","Legal Department Group","Active"
"GRP-0108","GRP-Engineering-0108","Engineering","Security","Engineering Department Group","Active"
"GRP-0109","GRP-IT-0109","IT","Distribution","IT Department Group","Active"
"GRP-0110","GRP-Operations-0110","Operations","Distribution","Operations Department Group","Active"
"GRP-0111","GRP-HR-0111","HR","Security","HR Department Group","Active"
"GRP-0112","GRP-Legal-0112","Legal","Security","Legal Department Group","Active"
"GRP-0113","GRP-HR-0113","HR","Security","HR Department Group","Active"
"GRP-0114","GRP-IT-0114","IT","Security","IT Department Group","Active"
"GRP-0115","GRP-Marketing-0115","Marketing","Security","Marketing Department Group","Active"
"GRP-0116","GRP-Operations-0116","Operations","Security","Operations Department Group","Active"
"GRP-0117","GRP-Operations-0117","Operations","Distribution","Operations Department Group","Active"
"GRP-0118","GRP-Operations-0118","Operations","Security","Operations Department Group","Active"
"GRP-0119","GRP-IT-0119","IT","Distribution","IT Department Group","Active"
"GRP-0120","GRP-Sales-0120","Sales","Distribution","Sales Department Group","Active"
"GRP-0121","GRP-Legal-0121","Legal","Distribution","Legal Department Group","Active"
"GRP-0122","GRP-CustomerSuccess-0122","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0123","GRP-Engineering-0123","Engineering","Security","Engineering Department Group","Active"
"GRP-0124","GRP-Engineering-0124","Engineering","Security","Engineering Department Group","Active"
"GRP-0125","GRP-Marketing-0125","Marketing","Security","Marketing Department Group","Active"
"GRP-0126","GRP-Engineering-0126","Engineering","Security","Engineering Department Group","Active"
"GRP-0127","GRP-CustomerSuccess-0127","CustomerSuccess","Distribution","CustomerSuccess Department Group","Active"
"GRP-0128","GRP-HR-0128","HR","Distribution","HR Department Group","Active"
"GRP-0129","GRP-Marketing-0129","Marketing","Security","Marketing Department Group","Active"
"GRP-0130","GRP-CustomerSuccess-0130","CustomerSuccess","Distribution","CustomerSuccess Department Group","Active"
"GRP-0131","GRP-Engineering-0131","Engineering","Security","Engineering Department Group","Active"
"GRP-0132","GRP-Legal-0132","Legal","Security","Legal Department Group","Active"
"GRP-0133","GRP-Operations-0133","Operations","Security","Operations Department Group","Active"
"GRP-0134","GRP-Engineering-0134","Engineering","Distribution","Engineering Department Group","Active"
"GRP-0135","GRP-HR-0135","HR","Security","HR Department Group","Active"
"GRP-0136","GRP-HR-0136","HR","Distribution","HR Department Group","Active"
"GRP-0137","GRP-Legal-0137","Legal","Security","Legal Department Group","Active"
"GRP-0138","GRP-Security-0138","Security","Security","Security Department Group","Active"
"GRP-0139","GRP-Operations-0139","Operations","Security","Operations Department Group","Active"
"GRP-0140","GRP-IT-0140","IT","Security","IT Department Group","Active"
"GRP-0141","GRP-CustomerSuccess-0141","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0142","GRP-Sales-0142","Sales","Distribution","Sales Department Group","Active"
"GRP-0143","GRP-Legal-0143","Legal","Distribution","Legal Department Group","Active"
"GRP-0144","GRP-CustomerSuccess-0144","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0145","GRP-Sales-0145","Sales","Security","Sales Department Group","Active"
"GRP-0146","GRP-IT-0146","IT","Security","IT Department Group","Active"
"GRP-0147","GRP-Engineering-0147","Engineering","Security","Engineering Department Group","Active"
"GRP-0148","GRP-HR-0148","HR","Distribution","HR Department Group","Active"
"GRP-0149","GRP-Legal-0149","Legal","Distribution","Legal Department Group","Active"
"GRP-0150","GRP-HR-0150","HR","Distribution","HR Department Group","Active"
"GRP-0151","GRP-Marketing-0151","Marketing","Distribution","Marketing Department Group","Active"
"GRP-0152","GRP-Operations-0152","Operations","Security","Operations Department Group","Active"
"GRP-0153","GRP-HR-0153","HR","Security","HR Department Group","Active"
"GRP-0154","GRP-HR-0154","HR","Security","HR Department Group","Active"
"GRP-0155","GRP-Engineering-0155","Engineering","Distribution","Engineering Department Group","Active"
"GRP-0156","GRP-IT-0156","IT","Security","IT Department Group","Active"
"GRP-0157","GRP-Marketing-0157","Marketing","Security","Marketing Department Group","Active"
"GRP-0158","GRP-Sales-0158","Sales","Distribution","Sales Department Group","Active"
"GRP-0159","GRP-Sales-0159","Sales","Distribution","Sales Department Group","Active"
"GRP-0160","GRP-IT-0160","IT","Distribution","IT Department Group","Active"
"GRP-0161","GRP-Marketing-0161","Marketing","Distribution","Marketing Department Group","Active"
"GRP-0162","GRP-Sales-0162","Sales","Security","Sales Department Group","Active"
"GRP-0163","GRP-Engineering-0163","Engineering","Security","Engineering Department Group","Active"
"GRP-0164","GRP-IT-0164","IT","Security","IT Department Group","Active"
"GRP-0165","GRP-Security-0165","Security","Distribution","Security Department Group","Active"
"GRP-0166","GRP-Engineering-0166","Engineering","Distribution","Engineering Department Group","Active"
"GRP-0167","GRP-Operations-0167","Operations","Security","Operations Department Group","Active"
"GRP-0168","GRP-Operations-0168","Operations","Distribution","Operations Department Group","Active"
"GRP-0169","GRP-CustomerSuccess-0169","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0170","GRP-Sales-0170","Sales","Security","Sales Department Group","Active"
"GRP-0171","GRP-IT-0171","IT","Distribution","IT Department Group","Active"
"GRP-0172","GRP-Security-0172","Security","Distribution","Security Department Group","Active"
"GRP-0173","GRP-Engineering-0173","Engineering","Distribution","Engineering Department Group","Active"
"GRP-0174","GRP-Marketing-0174","Marketing","Distribution","Marketing Department Group","Active"
"GRP-0175","GRP-Security-0175","Security","Distribution","Security Department Group","Active"
"GRP-0176","GRP-Marketing-0176","Marketing","Distribution","Marketing Department Group","Active"
"GRP-0177","GRP-Finance-0177","Finance","Distribution","Finance Department Group","Active"
"GRP-0178","GRP-CustomerSuccess-0178","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0179","GRP-Legal-0179","Legal","Security","Legal Department Group","Active"
"GRP-0180","GRP-Legal-0180","Legal","Security","Legal Department Group","Active"
"GRP-0181","GRP-IT-0181","IT","Distribution","IT Department Group","Active"
"GRP-0182","GRP-Sales-0182","Sales","Security","Sales Department Group","Active"
"GRP-0183","GRP-Finance-0183","Finance","Security","Finance Department Group","Active"
"GRP-0184","GRP-CustomerSuccess-0184","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0185","GRP-HR-0185","HR","Security","HR Department Group","Active"
"GRP-0186","GRP-Sales-0186","Sales","Security","Sales Department Group","Active"
"GRP-0187","GRP-IT-0187","IT","Security","IT Department Group","Active"
"GRP-0188","GRP-Finance-0188","Finance","Distribution","Finance Department Group","Active"
"GRP-0189","GRP-HR-0189","HR","Distribution","HR Department Group","Active"
"GRP-0190","GRP-Security-0190","Security","Distribution","Security Department Group","Active"
"GRP-0191","GRP-IT-0191","IT","Security","IT Department Group","Active"
"GRP-0192","GRP-Finance-0192","Finance","Security","Finance Department Group","Active"
"GRP-0193","GRP-Marketing-0193","Marketing","Security","Marketing Department Group","Active"
"GRP-0194","GRP-Operations-0194","Operations","Distribution","Operations Department Group","Active"
"GRP-0195","GRP-Security-0195","Security","Distribution","Security Department Group","Active"
"GRP-0196","GRP-HR-0196","HR","Security","HR Department Group","Active"
"GRP-0197","GRP-Sales-0197","Sales","Security","Sales Department Group","Active"
"GRP-0198","GRP-Sales-0198","Sales","Security","Sales Department Group","Active"
"GRP-0199","GRP-Sales-0199","Sales","Security","Sales Department Group","Active"
"GRP-0200","GRP-Sales-0200","Sales","Distribution","Sales Department Group","Active"
"GRP-0201","GRP-Security-0201","Security","Distribution","Security Department Group","Active"
"GRP-0202","GRP-Sales-0202","Sales","Distribution","Sales Department Group","Active"
"GRP-0203","GRP-Security-0203","Security","Security","Security Department Group","Active"
"GRP-0204","GRP-IT-0204","IT","Distribution","IT Department Group","Active"
"GRP-0205","GRP-Engineering-0205","Engineering","Security","Engineering Department Group","Active"
"GRP-0206","GRP-Security-0206","Security","Distribution","Security Department Group","Active"
"GRP-0207","GRP-IT-0207","IT","Distribution","IT Department Group","Active"
"GRP-0208","GRP-CustomerSuccess-0208","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0209","GRP-Legal-0209","Legal","Security","Legal Department Group","Active"
"GRP-0210","GRP-IT-0210","IT","Security","IT Department Group","Active"
"GRP-0211","GRP-Finance-0211","Finance","Distribution","Finance Department Group","Active"
"GRP-0212","GRP-Security-0212","Security","Distribution","Security Department Group","Active"
"GRP-0213","GRP-HR-0213","HR","Distribution","HR Department Group","Active"
"GRP-0214","GRP-IT-0214","IT","Distribution","IT Department Group","Active"
"GRP-0215","GRP-IT-0215","IT","Distribution","IT Department Group","Active"
"GRP-0216","GRP-CustomerSuccess-0216","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0217","GRP-IT-0217","IT","Security","IT Department Group","Active"
"GRP-0218","GRP-Marketing-0218","Marketing","Security","Marketing Department Group","Active"
"GRP-0219","GRP-Marketing-0219","Marketing","Distribution","Marketing Department Group","Active"
"GRP-0220","GRP-HR-0220","HR","Security","HR Department Group","Active"
"GRP-0221","GRP-Engineering-0221","Engineering","Security","Engineering Department Group","Active"
"GRP-0222","GRP-CustomerSuccess-0222","CustomerSuccess","Distribution","CustomerSuccess Department Group","Active"
"GRP-0223","GRP-Sales-0223","Sales","Distribution","Sales Department Group","Active"
"GRP-0224","GRP-Legal-0224","Legal","Security","Legal Department Group","Active"
"GRP-0225","GRP-CustomerSuccess-0225","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0226","GRP-IT-0226","IT","Distribution","IT Department Group","Active"
"GRP-0227","GRP-Operations-0227","Operations","Distribution","Operations Department Group","Active"
"GRP-0228","GRP-Marketing-0228","Marketing","Distribution","Marketing Department Group","Active"
"GRP-0229","GRP-Marketing-0229","Marketing","Security","Marketing Department Group","Active"
"GRP-0230","GRP-HR-0230","HR","Security","HR Department Group","Active"
"GRP-0231","GRP-CustomerSuccess-0231","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0232","GRP-Legal-0232","Legal","Distribution","Legal Department Group","Active"
"GRP-0233","GRP-Legal-0233","Legal","Distribution","Legal Department Group","Active"
"GRP-0234","GRP-HR-0234","HR","Security","HR Department Group","Active"
"GRP-0235","GRP-Legal-0235","Legal","Distribution","Legal Department Group","Active"
"GRP-0236","GRP-CustomerSuccess-0236","CustomerSuccess","Distribution","CustomerSuccess Department Group","Active"
"GRP-0237","GRP-Legal-0237","Legal","Security","Legal Department Group","Active"
"GRP-0238","GRP-Marketing-0238","Marketing","Distribution","Marketing Department Group","Active"
"GRP-0239","GRP-HR-0239","HR","Security","HR Department Group","Active"
"GRP-0240","GRP-CustomerSuccess-0240","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0241","GRP-Sales-0241","Sales","Security","Sales Department Group","Active"
"GRP-0242","GRP-Finance-0242","Finance","Distribution","Finance Department Group","Active"
"GRP-0243","GRP-Marketing-0243","Marketing","Security","Marketing Department Group","Active"
"GRP-0244","GRP-Engineering-0244","Engineering","Security","Engineering Department Group","Active"
"GRP-0245","GRP-Sales-0245","Sales","Security","Sales Department Group","Active"
"GRP-0246","GRP-Engineering-0246","Engineering","Security","Engineering Department Group","Active"
"GRP-0247","GRP-Finance-0247","Finance","Distribution","Finance Department Group","Active"
